file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\firebasequickstart-android\perf\app\src\main\java\com\google\firebase\quickstart\perfmon\java\MainActivity.java,com.google.firebase.quickstart.perfmon.java.MainActivity$Anonymous3$Anonymous4,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,class,14,19,5,14,13,3,0,29,9,0.7142858,0.0,0.0,7,1,4,3,0,0,4,0,0,0,7,6,5,2,0,0,6,0,0,84,4,0,2,0,0,11,2,16,3,16,2,4,0,0,88,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\adapter\RestaurantAdapter.java,com.google.firebase.example.fireeats.java.adapter.RestaurantAdapter$ViewHolder$Anonymous1,anonymous,2,2,0,2,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,class,3,9,6,3,13,1,0,4,40,0.76666665,0.0,0.0,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,48,5,0,0,0,0,0,0,10,0,5,1,0,0,0,19,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\internal\chooserx\src\main\java\com\firebase\example\internal\ChoiceAdapter.java,com.firebase.example.internal.ChoiceAdapter,class,9,10,1,9,4,2,0,6,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,40,2,0,0,0,0,0,0,4,0,4,0,0,1,0,18,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\internal\chooserx\src\main\java\com\firebase\example\internal\ChoiceAdapter.java,com.firebase.example.internal.ChoiceAdapter$ViewHolder$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\database\app\src\main\java\com\google\firebase\quickstart\database\java\listfragments\PostListFragment.java,com.google.firebase.quickstart.database.java.listfragments.PostListFragment$Anonymous1,anonymous,7,7,0,7,3,1,0,10,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,3,0,3,1,2,0,0,20,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\GoogleSignInFragment.java,com.google.firebase.quickstart.auth.java.GoogleSignInFragment$Anonymous6,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\GoogleSignInFragment.java,com.google.firebase.quickstart.auth.java.GoogleSignInFragment$Anonymous4,anonymous,5,5,0,5,2,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,1,0,1,1,0,0,0,13,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\MainActivity.java,com.google.samples.quickstart.appindexing.java.MainActivity$Anonymous8,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\GoogleSignInFragment.java,com.google.firebase.quickstart.auth.java.GoogleSignInFragment$Anonymous5,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\database\app\src\main\java\com\google\firebase\quickstart\database\java\PostDetailFragment.java,com.google.firebase.quickstart.database.java.PostDetailFragment,class,12,13,1,12,7,3,0,19,0,0.65000004,0.0,0.0,5,0,4,1,0,0,4,0,0,0,8,2,1,7,0,0,2,0,0,149,1,0,2,0,0,6,0,10,0,10,1,3,1,0,55,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\MainActivity.java,com.google.samples.quickstart.appindexing.java.MainActivity$Anonymous7,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\EmailPasswordFragment.java,com.google.firebase.quickstart.auth.java.EmailPasswordFragment,class,14,23,9,14,20,3,0,39,0,0.5555555,0.0,0.0,12,0,4,8,0,0,4,0,0,0,3,1,0,3,0,0,1,0,0,198,4,0,2,0,1,6,0,13,2,10,2,9,0,0,66,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\MainActivity.java,com.google.samples.quickstart.appindexing.java.MainActivity$Anonymous6,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\MainActivity.java,com.google.samples.quickstart.appindexing.java.MainActivity$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\MainActivity.java,com.google.samples.quickstart.appindexing.java.MainActivity$Anonymous4,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,12,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\crash\app\src\main\java\com\google\samples\quickstart\crash\java\MainActivity.java,com.google.samples.quickstart.crash.java.MainActivity$Anonymous1,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,2,0,0,0,0,2,0,0,0,10,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\database\app\src\main\java\com\google\firebase\quickstart\database\java\SignInFragment.java,com.google.firebase.quickstart.database.java.SignInFragment,class,15,18,3,15,18,3,0,34,17,0.675,0.0,0.0,10,0,4,6,0,0,4,0,0,0,4,1,0,4,0,0,1,0,0,112,6,0,3,0,0,8,1,14,0,12,1,2,0,0,54,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\config\app\src\main\java\com\google\samples\quickstart\config\java\MainActivity.java,com.google.samples.quickstart.config.java.MainActivity,class,9,13,4,9,4,2,0,18,0,0.52380955,NaN,NaN,3,0,0,2,1,0,1,0,0,0,7,4,0,7,0,0,4,0,0,53,0,0,0,0,0,4,1,9,0,9,1,2,0,0,67,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\adapter\RestaurantAdapter.java,com.google.firebase.example.fireeats.java.adapter.RestaurantAdapter,class,6,7,1,6,3,3,0,5,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,45,1,0,0,0,0,0,0,1,0,1,0,0,2,0,25,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\internal\chooserx\src\main\java\com\firebase\example\internal\ChoiceAdapter.java,com.firebase.example.internal.ChoiceAdapter$ViewHolder,innerclass,5,5,0,5,2,2,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,21,0,0,0,0,0,0,0,3,0,3,0,1,0,0,11,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\androidTest\java\com\google\samples\quickstart\appindexing\MainActivityTest.java,com.google.samples.quickstart.appindexing.MainActivityTest,class,7,7,0,7,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,3,0,3,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\MainActivity.java,com.google.samples.quickstart.appindexing.java.MainActivity$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,12,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\MainActivity.java,com.google.samples.quickstart.appindexing.java.MainActivity$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\MainActivity.java,com.google.samples.quickstart.appindexing.java.MainActivity$Anonymous1,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\messaging\app\src\main\java\com\google\firebase\quickstart\fcm\java\MyWorker.java,com.google.firebase.quickstart.fcm.java.MyWorker,class,5,6,1,5,2,2,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,10,1,0,0,0,0,2,0,1,0,1,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\GoogleSignInFragment.java,com.google.firebase.quickstart.auth.java.GoogleSignInFragment$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\GoogleSignInFragment.java,com.google.firebase.quickstart.auth.java.GoogleSignInFragment$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\admob\app\src\main\java\com\google\samples\quickstart\admobexample\java\FirstFragment.java,com.google.samples.quickstart.admobexample.java.FirstFragment$Anonymous1,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\RestaurantDetailFragment.java,com.google.firebase.example.fireeats.java.RestaurantDetailFragment,class,30,33,3,30,17,2,0,53,38,0.78571427,0.0,0.0,12,0,9,3,0,0,9,0,0,0,7,1,0,7,0,0,1,0,1,123,3,0,3,0,1,6,2,12,0,11,1,4,0,0,67,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\GoogleSignInFragment.java,com.google.firebase.quickstart.auth.java.GoogleSignInFragment$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\database\app\src\main\java\com\google\firebase\quickstart\database\java\listfragments\PostListFragment.java,com.google.firebase.quickstart.database.java.listfragments.PostListFragment$Anonymous4,anonymous,6,6,0,6,4,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,1,0,0,1,2,3,3,1,1,0,0,0,17,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\storage\app\src\androidTest\java\com\google\firebase\quickstart\firebasestorage\MainActivityTest.java,com.google.firebase.quickstart.firebasestorage.MainActivityTest,class,17,18,1,17,10,1,0,35,11,0.72222227,0.0,0.0,6,1,4,2,0,0,4,0,0,0,3,1,1,2,0,0,1,0,2,63,0,0,1,2,0,8,2,13,3,13,1,0,0,0,95,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\MultiFactorFragment.java,com.google.firebase.quickstart.auth.java.MultiFactorFragment$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\MultiFactorFragment.java,com.google.firebase.quickstart.auth.java.MultiFactorFragment$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\MultiFactorFragment.java,com.google.firebase.quickstart.auth.java.MultiFactorFragment$Anonymous4,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\MultiFactorFragment.java,com.google.firebase.quickstart.auth.java.MultiFactorFragment$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\MultiFactorFragment.java,com.google.firebase.quickstart.auth.java.MultiFactorFragment$Anonymous6,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\MultiFactorEnrollFragment.java,com.google.firebase.quickstart.auth.java.MultiFactorEnrollFragment,class,14,17,3,14,6,3,0,20,0,0.6666667,0.0,0.0,5,0,2,3,0,0,2,0,0,0,3,1,0,3,0,0,1,0,0,80,2,0,0,0,0,2,0,6,0,7,1,6,0,0,52,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\MultiFactorFragment.java,com.google.firebase.quickstart.auth.java.MultiFactorFragment$Anonymous5,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\MultiFactorFragment.java,com.google.firebase.quickstart.auth.java.MultiFactorFragment$Anonymous8,anonymous,3,3,0,3,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,1,0,0,0,11,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\MultiFactorFragment.java,com.google.firebase.quickstart.auth.java.MultiFactorFragment$Anonymous7,anonymous,2,2,0,2,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,1,0,1,0,0,0,11,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\BaseFragment.java,com.google.firebase.quickstart.auth.java.BaseFragment,class,6,22,16,6,8,2,9,7,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,26,0,0,3,0,0,0,1,2,0,2,1,0,0,0,21,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\messaging\app\src\main\java\com\google\firebase\quickstart\fcm\java\MainActivity.java,com.google.firebase.quickstart.fcm.java.MainActivity$Anonymous3$Anonymous4,anonymous,2,2,0,2,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,0,2,0,2,1,0,0,0,11,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\admob\app\src\main\java\com\google\samples\quickstart\admobexample\java\FirstFragment.java,com.google.samples.quickstart.admobexample.java.FirstFragment$Anonymous2,anonymous,4,4,0,4,3,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,1,0,2,1,0,1,1,0,0,18,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\StickerProvider.java,com.google.samples.quickstart.appindexing.java.StickerProvider,class,9,11,2,9,22,2,0,16,49,0.72727275,0.0,0.0,11,0,7,4,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,78,7,0,6,2,0,10,2,16,4,10,2,0,0,0,66,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\crash\app\src\main\java\com\google\samples\quickstart\crash\java\CustomKeySamples.java,com.google.samples.quickstart.crash.java.CustomKeySamples$Anonymous1,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\inappmessaging\app\src\main\java\com\google\firebase\fiamquickstart\java\MainActivity.java,com.google.firebase.fiamquickstart.java.MainActivity,class,7,7,0,7,1,2,0,11,0,0.33333334,NaN,NaN,1,0,0,0,1,0,1,0,0,0,3,1,0,3,0,0,1,0,0,28,0,0,0,0,0,1,0,4,0,4,0,2,0,0,28,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\analytics\app\src\main\java\com\google\firebase\quickstart\analytics\java\ImageInfo.java,com.google.firebase.quickstart.analytics.java.ImageInfo,class,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\database\app\src\main\java\com\google\firebase\quickstart\database\java\models\Comment.java,com.google.firebase.quickstart.database.java.models.Comment,class,1,4,3,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\adapter\RatingAdapter.java,com.google.firebase.example.fireeats.java.adapter.RatingAdapter$ViewHolder,innerclass,3,3,0,3,3,2,0,8,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,16,0,0,1,0,0,1,0,2,0,2,1,0,0,0,19,8,0
D:\trabCKMetrics\repos\firebasequickstart-android\config\app\src\main\java\com\google\samples\quickstart\config\java\MainActivity.java,com.google.samples.quickstart.config.java.MainActivity$Anonymous2,anonymous,3,3,0,3,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,1,1,1,1,0,0,0,10,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\config\app\src\main\java\com\google\samples\quickstart\config\java\MainActivity.java,com.google.samples.quickstart.config.java.MainActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\messaging\app\src\main\java\com\google\firebase\quickstart\fcm\java\MainActivity.java,com.google.firebase.quickstart.fcm.java.MainActivity$Anonymous1$Anonymous2,anonymous,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,1,1,0,0,0,6,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\RatingDialogFragment.java,com.google.firebase.example.fireeats.java.RatingDialogFragment$RatingListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\AppIndexingService.java,com.google.samples.quickstart.appindexing.java.AppIndexingService,class,4,5,1,4,5,2,0,4,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,1,1,0,1,0,1,0,1,2,0,0,0,18,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\TokenBroadcastReceiver.java,com.google.firebase.quickstart.auth.java.TokenBroadcastReceiver,class,5,7,2,5,4,2,0,6,1,0.5555556,0.0,0.0,3,1,3,0,0,0,3,1,0,0,3,3,2,1,0,0,3,0,0,17,1,0,0,0,0,4,0,5,1,5,1,0,0,0,45,1025,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\AnonymousAuthFragment.java,com.google.firebase.quickstart.auth.java.AnonymousAuthFragment,class,14,20,6,14,14,3,0,28,0,0.5925926,0.0,0.0,9,0,4,5,0,0,4,0,0,0,3,1,0,3,0,0,1,0,0,126,3,0,1,0,1,3,0,16,0,13,1,5,0,0,59,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\auth\app\src\main\java\com\google\firebase\quickstart\auth\java\ChooserFragment.java,com.google.firebase.quickstart.auth.java.ChooserFragment$MyArrayAdapter,innerclass,7,7,0,7,4,2,0,4,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,21,1,0,1,0,2,0,0,5,0,4,1,0,0,0,22,9,0
D:\trabCKMetrics\repos\firebasequickstart-android\database\app\src\main\java\com\google\firebase\quickstart\database\java\PostDetailFragment.java,com.google.firebase.quickstart.database.java.PostDetailFragment$CommentAdapter$Anonymous4,anonymous,3,3,0,3,7,1,0,15,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,8,3,8,7,8,1,0,0,0,26,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\config\app\src\androidTest\java\com\google\samples\quickstart\config\MainActivityTest.java,com.google.samples.quickstart.config.MainActivityTest,class,7,7,0,7,1,1,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\database\app\src\main\java\com\google\firebase\quickstart\database\java\BaseFragment.java,com.google.firebase.quickstart.database.java.BaseFragment,class,2,7,5,2,6,2,3,6,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,19,1,0,2,0,0,0,0,1,0,1,1,0,0,0,14,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\app-indexing\app\src\main\java\com\google\samples\quickstart\appindexing\java\MainActivity.java,com.google.samples.quickstart.appindexing.java.MainActivity,class,13,15,2,13,8,2,0,32,0,0.5833333,0.0,0.0,4,0,2,0,2,0,4,0,0,0,3,2,0,3,0,0,2,0,0,86,2,0,3,0,0,3,0,16,0,16,1,8,0,0,56,1,0
D:\trabCKMetrics\repos\firebasequickstart-android\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MainActivity.java,com.google.firebase.quickstart.firebasestorage.java.MainActivity$Anonymous2,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,-1,0
D:\trabCKMetrics\repos\firebasequickstart-android\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MainActivity.java,com.google.firebase.quickstart.firebasestorage.java.MainActivity$Anonymous1,anonymous,3,3,0,3,5,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,4,1,1,1,1,1,0,0,0,22,-1,0
