file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\foundation\internals\DefaultProviderManager.java,com.ctrip.framework.foundation.internals.DefaultProviderManager,class,8,9,1,8,10,1,0,15,0,0.5,0.0,0.0,5,0,5,0,0,0,5,0,0,1,2,1,0,2,0,0,1,0,0,45,5,2,3,0,0,5,1,8,0,8,2,0,0,0,36,1,1
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\apollo\core\internals\LegacyMetaServerProvider.java,com.ctrip.framework.apollo.core.internals.LegacyMetaServerProvider,class,4,6,2,4,8,1,0,11,8,0.70000005,0.0,0.0,5,0,3,2,0,0,3,0,0,0,2,2,1,1,0,0,2,0,3,34,3,0,1,0,0,13,1,8,1,5,1,0,0,0,26,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-common\src\test\java\com\ctrip\framework\apollo\common\conditional\ConditionalOnProfileTest.java,com.ctrip.framework.apollo.common.conditional.ConditionalOnProfileTest$TestConfiguration$AnotherCombinedConfiguration,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,8,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\controller\PageSettingController.java,com.ctrip.framework.apollo.portal.controller.PageSettingController,class,4,4,0,4,2,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,1,0,2,0,2,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\openapi\filter\ConsumerAuthenticationFilter.java,com.ctrip.framework.apollo.openapi.filter.ConsumerAuthenticationFilter,class,9,11,2,9,5,1,0,6,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,25,1,0,1,0,0,1,0,6,0,6,1,0,0,0,29,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\spring\JavaConfigAnnotationTest.java,com.ctrip.framework.apollo.spring.JavaConfigAnnotationTest$TestEnableApolloConfigResolveExpressionWithDefaultValueConfiguration,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,1,0,0,0,0,15,8,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-openapi\src\test\java\com\ctrip\framework\apollo\openapi\client\service\ReleaseOpenApiServiceTest.java,com.ctrip.framework.apollo.openapi.client.service.ReleaseOpenApiServiceTest,class,10,10,0,10,7,2,0,20,0,0.17142859,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,3,64,0,0,0,0,0,14,8,22,0,22,0,0,0,0,54,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\test\java\com\ctrip\framework\apollo\portal\util\RoleUtilsTest.java,com.ctrip.framework.apollo.portal.util.RoleUtilsTest,class,2,2,0,2,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-configservice\src\test\java\com\ctrip\framework\apollo\configservice\service\config\ConfigServiceWithCacheTest.java,com.ctrip.framework.apollo.configservice.service.config.ConfigServiceWithCacheTest,class,12,12,0,12,12,1,0,23,0,0.30909094,0.0,0.0,10,0,10,0,0,0,10,0,0,0,11,0,0,11,0,0,0,0,1,146,0,2,0,0,0,6,28,38,3,42,1,0,0,0,52,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-biz\src\main\java\com\ctrip\framework\apollo\biz\entity\AccessKey.java,com.ctrip.framework.apollo.biz.entity.AccessKey,class,6,13,7,6,7,2,0,3,3,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,26,4,0,0,0,0,10,0,3,0,3,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\main\java\com\ctrip\framework\apollo\spring\config\ConfigPropertySourcesProcessor.java,com.ctrip.framework.apollo.spring.config.ConfigPropertySourcesProcessor,class,5,9,4,5,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-adminservice\src\main\java\com\ctrip\framework\apollo\adminservice\controller\InstanceConfigController.java,com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController,class,19,20,1,19,16,1,0,54,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,3,0,12,98,7,5,1,0,0,20,2,32,0,32,3,0,0,2,56,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-demo\src\main\java\com\ctrip\framework\apollo\demo\spring\springBootDemo\refresh\SpringBootApolloRefreshConfig.java,com.ctrip.framework.apollo.demo.spring.springBootDemo.refresh.SpringBootApolloRefreshConfig,class,8,9,1,8,2,1,0,4,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,3,0,0,14,0,0,0,0,0,7,0,3,0,3,0,0,0,0,19,1,2
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\spi\defaultimpl\DefaultMQService.java,com.ctrip.framework.apollo.portal.spi.defaultimpl.DefaultMQService,class,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\spring\XmlConfigPlaceholderAutoUpdateTest.java,com.ctrip.framework.apollo.spring.XmlConfigPlaceholderAutoUpdateTest$TestXmlBeanWithInjectedValue,innerclass,1,1,0,1,3,1,0,0,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,13,2,0,0,0,0,1,0,1,0,2,0,0,0,0,12,9,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-common\src\main\java\com\ctrip\framework\apollo\common\dto\BaseDTO.java,com.ctrip.framework.apollo.common.dto.BaseDTO,class,0,34,34,0,12,1,12,0,54,0.8333333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,6,0,0,0,6,0,0,0,0,44,6,0,0,0,0,0,0,6,0,6,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\util\yaml\YamlParserTest.java,com.ctrip.framework.apollo.util.yaml.YamlParserTest,class,13,14,1,13,16,1,0,24,54,0.6666667,0.0,0.0,12,0,7,5,0,0,7,0,0,0,1,0,0,1,0,0,0,0,2,76,5,1,2,0,0,17,4,14,3,13,2,1,0,0,51,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\spring\BootstrapConfigTest.java,com.ctrip.framework.apollo.spring.BootstrapConfigTest$TestWithBootstrapDisabledAndDefaultNamespacesAndConditionalOn,innerclass,12,12,0,12,3,2,0,13,3,0.6666667,0.0,0.0,3,2,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,3,16,0,0,0,0,0,0,0,1,0,2,0,0,0,0,45,9,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\main\java\com\ctrip\framework\apollo\util\function\Functions.java,com.ctrip.framework.apollo.util.function.Functions,interface,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,66,0,0,0,0,0,0,0,9,0,9,0,9,0,0,21,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\openapi\repository\ConsumerRoleRepository.java,com.ctrip.framework.apollo.openapi.repository.ConsumerRoleRepository,interface,4,9,5,4,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\spi\springsecurity\SpringSecurityUserInfoHolder.java,com.ctrip.framework.apollo.portal.spi.springsecurity.SpringSecurityUserInfoHolder,class,5,8,3,5,6,1,0,9,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,26,5,0,1,0,2,0,0,5,0,5,1,0,0,0,17,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\test\java\com\ctrip\framework\apollo\core\utils\StringUtilsTest.java,com.ctrip.framework.apollo.core.utils.StringUtilsTest,class,2,2,0,2,12,1,0,17,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,35,65,0,0,0,0,0,38,1,2,0,1,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\spring\BootstrapConfigTest.java,com.ctrip.framework.apollo.spring.BootstrapConfigTest$ConfigurationWithoutConditionalOnProperty,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-adminservice\src\test\java\com\ctrip\framework\apollo\adminservice\aop\NamespaceUnlockAspectTest.java,com.ctrip.framework.apollo.adminservice.aop.NamespaceUnlockAspectTest,class,14,15,1,14,10,1,0,17,3,0.325,0.0,0.0,10,0,7,3,0,0,7,0,0,0,4,0,0,4,0,0,0,0,7,104,3,0,0,0,0,26,10,44,0,48,0,0,0,0,35,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-openapi\src\main\java\com\ctrip\framework\apollo\openapi\dto\OpenAppNamespaceDTO.java,com.ctrip.framework.apollo.openapi.dto.OpenAppNamespaceDTO,class,1,7,6,1,13,2,0,0,42,0.7692308,0.0,0.0,13,0,13,0,0,0,13,0,0,0,6,0,0,6,0,0,0,0,0,47,7,0,0,0,0,11,0,7,2,6,0,0,0,0,33,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\entity\vo\NamespaceIdentifier.java,com.ctrip.framework.apollo.portal.entity.vo.NamespaceIdentifier,class,3,8,5,3,10,1,0,2,7,0.625,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,2,36,6,0,0,0,0,5,0,4,2,4,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-biz\src\test\java\com\ctrip\framework\apollo\biz\service\AdminServiceTransactionTest.java,com.ctrip.framework.apollo.biz.service.AdminServiceTransactionTest,class,15,15,0,15,6,2,0,13,0,0.32000002,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,4,0,1,0,0,0,47,0,1,0,0,0,4,16,3,0,8,1,0,0,0,29,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\main\java\com\ctrip\framework\apollo\spring\spi\DefaultConfigPropertySourcesProcessorHelper.java,com.ctrip.framework.apollo.spring.spi.DefaultConfigPropertySourcesProcessorHelper,class,8,10,2,8,3,1,1,8,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0,0,1,1,2,0,2,0,0,0,0,42,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\entity\vo\Change.java,com.ctrip.framework.apollo.portal.entity.vo.Change,class,3,5,2,3,5,1,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,20,2,0,0,0,0,0,0,4,0,2,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\repository\FavoriteRepository.java,com.ctrip.framework.apollo.portal.repository.FavoriteRepository,interface,5,7,2,5,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-configservice\src\test\java\com\ctrip\framework\apollo\configservice\integration\ConfigFileControllerIntegrationTest.java,com.ctrip.framework.apollo.configservice.integration.ConfigFileControllerIntegrationTest$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-common\src\main\java\com\ctrip\framework\apollo\common\dto\NamespaceLockDTO.java,com.ctrip.framework.apollo.common.dto.NamespaceLockDTO,class,1,7,6,1,2,2,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-core\src\main\java\com\ctrip\framework\apollo\tracer\internals\cat\CatTransaction.java,com.ctrip.framework.apollo.tracer.internals.cat.CatTransaction,class,1,2,1,1,12,1,0,3,0,0.74999994,0.0,0.0,6,1,5,0,0,1,7,0,0,0,6,5,0,6,0,0,0,0,1,57,0,0,0,5,0,1,0,6,0,6,1,0,0,0,44,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\ConfigServiceTest.java,com.ctrip.framework.apollo.ConfigServiceTest$MockConfigFile,innerclass,4,4,0,4,8,1,0,1,18,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,28,6,0,0,0,0,1,0,2,1,2,0,0,0,0,21,10,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-biz\src\main\java\com\ctrip\framework\apollo\biz\repository\NamespaceRepository.java,com.ctrip.framework.apollo.biz.repository.NamespaceRepository,interface,5,9,4,5,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\spring\XMLConfigAnnotationTest.java,com.ctrip.framework.apollo.spring.XMLConfigAnnotationTest,class,17,18,1,17,10,2,0,33,15,0.5714286,0.0,0.0,7,0,6,1,0,0,6,0,0,0,1,1,0,1,0,0,1,0,10,144,1,3,0,0,0,10,6,21,0,21,1,2,6,0,64,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\main\java\com\ctrip\framework\apollo\enums\ConfigSourceType.java,com.ctrip.framework.apollo.enums.ConfigSourceType,enum,0,20,20,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,3,0,1,0,1,0,0,0,0,27,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-biz\src\test\java\com\ctrip\framework\apollo\biz\service\NamespaceServiceTest.java,com.ctrip.framework.apollo.biz.service.NamespaceServiceTest,class,13,13,0,13,2,2,0,13,0,0.125,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,4,23,0,0,0,0,0,3,5,7,0,10,0,0,0,0,29,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-biz\src\main\java\com\ctrip\framework\apollo\biz\service\AccessKeyService.java,com.ctrip.framework.apollo.biz.service.AccessKeyService,class,7,9,2,7,9,1,0,15,0,0.33333334,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,3,0,0,50,3,0,2,0,0,4,2,9,0,9,1,0,0,0,43,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\openapi\auth\ConsumerPermissionValidator.java,com.ctrip.framework.apollo.openapi.auth.ConsumerPermissionValidator,class,6,11,5,6,7,1,0,5,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,4,26,6,0,0,0,0,0,0,2,0,2,1,0,0,0,23,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\internals\RemoteConfigLongPollServiceTest.java,com.ctrip.framework.apollo.internals.RemoteConfigLongPollServiceTest,class,21,21,0,21,10,2,0,39,0,0.56666666,0.0,0.0,10,0,10,0,0,0,10,0,0,0,9,4,0,9,0,0,0,0,4,375,0,0,0,0,0,41,33,84,6,86,0,13,1,0,84,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-openapi\src\test\java\com\ctrip\framework\apollo\openapi\client\service\AppOpenApiServiceTest.java,com.ctrip.framework.apollo.openapi.client.service.AppOpenApiServiceTest,class,7,7,0,7,3,2,0,16,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,22,0,0,0,0,0,3,2,5,0,5,0,0,0,0,31,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-biz\src\main\java\com\ctrip\framework\apollo\biz\repository\GrayReleaseRuleRepository.java,com.ctrip.framework.apollo.biz.repository.GrayReleaseRuleRepository,interface,2,5,3,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-common\src\main\java\com\ctrip\framework\apollo\common\constants\NamespaceBranchStatus.java,com.ctrip.framework.apollo.common.constants.NamespaceBranchStatus,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,3,0,3,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\internals\YamlConfigFileTest.java,com.ctrip.framework.apollo.internals.YamlConfigFileTest,class,16,16,0,16,10,1,0,27,0,0.37777779,0.0,0.0,9,0,9,0,0,0,9,0,0,0,5,0,0,5,0,0,0,0,3,147,0,0,0,1,0,20,0,42,0,40,1,2,0,0,56,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\test\java\com\ctrip\framework\apollo\SkipAuthorizationConfiguration.java,com.ctrip.framework.apollo.SkipAuthorizationConfiguration,class,7,8,1,7,3,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,2,1,3,0,3,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\spring\JavaConfigAnnotationTest.java,com.ctrip.framework.apollo.spring.JavaConfigAnnotationTest$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\spring\JavaConfigAnnotationTest.java,com.ctrip.framework.apollo.spring.JavaConfigAnnotationTest$Anonymous2,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\internals\RemoteConfigRepositoryTest.java,com.ctrip.framework.apollo.internals.RemoteConfigRepositoryTest$MockConfigUtil,innerclass,1,1,0,1,9,2,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0,0,0,0,0,4,0,0,0,0,0,0,0,31,9,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-openapi\src\main\java\com\ctrip\framework\apollo\openapi\dto\OpenClusterDTO.java,com.ctrip.framework.apollo.openapi.dto.OpenClusterDTO,class,1,6,5,1,5,2,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,7,0,2,2,2,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-biz\src\main\java\com\ctrip\framework\apollo\biz\grayReleaseRule\GrayReleaseRuleCache.java,com.ctrip.framework.apollo.biz.grayReleaseRule.GrayReleaseRuleCache,class,2,4,2,2,13,1,0,2,29,0.77922076,0.0,0.0,11,0,11,0,0,0,11,0,0,0,7,0,0,7,0,0,0,0,1,53,10,1,0,0,0,0,0,8,0,7,2,0,0,0,33,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-configservice\src\test\java\com\ctrip\framework\apollo\configservice\controller\NotificationControllerTest.java,com.ctrip.framework.apollo.configservice.controller.NotificationControllerTest,class,15,15,0,15,9,1,0,28,0,0.20833333,0.0,0.0,6,0,6,0,0,0,6,0,0,0,12,0,0,12,0,0,0,0,2,91,0,3,0,0,0,15,3,35,1,39,1,0,0,0,58,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-biz\src\main\java\com\ctrip\framework\apollo\biz\entity\Release.java,com.ctrip.framework.apollo.biz.entity.Release,class,7,34,27,7,17,2,0,3,92,0.8308823,0.0,0.0,17,0,17,0,0,0,17,0,0,0,8,0,0,8,0,0,0,0,0,61,9,0,0,0,0,19,0,8,0,8,0,0,0,0,34,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\controller\ConsumerController.java,com.ctrip.framework.apollo.portal.controller.ConsumerController,class,17,17,0,17,14,1,0,26,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,2,0,8,52,5,2,1,0,0,13,2,9,0,8,3,0,0,0,59,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\spi\DefaultConfigFactoryManagerTest.java,com.ctrip.framework.apollo.spi.DefaultConfigFactoryManagerTest$AnotherConfigFactory,innerclass,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\entity\bo\KVEntity.java,com.ctrip.framework.apollo.portal.entity.bo.KVEntity,class,0,5,5,0,5,1,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,20,2,0,0,0,0,0,0,4,0,2,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\main\java\com\ctrip\framework\apollo\util\http\DefaultHttpClient.java,com.ctrip.framework.apollo.util.http.DefaultHttpClient,class,11,14,3,11,22,1,0,25,4,0.75,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,1,0,2,0,0,1,0,2,101,4,1,8,5,0,3,7,17,0,13,4,2,0,0,68,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\environment\DatabasePortalMetaServerProvider.java,com.ctrip.framework.apollo.portal.environment.DatabasePortalMetaServerProvider,class,5,8,3,5,4,1,0,7,0,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,3,1,0,3,0,0,2,0,1,20,2,0,0,0,0,1,0,4,0,4,0,0,0,0,25,0,1
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\main\java\com\ctrip\framework\apollo\portal\constant\TracerEventType.java,com.ctrip.framework.apollo.portal.constant.TracerEventType,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,16,0,0,0,0,0,14,0,14,0,14,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-client\src\test\java\com\ctrip\framework\apollo\spring\AbstractSpringIntegrationTest.java,com.ctrip.framework.apollo.spring.AbstractSpringIntegrationTest$MockConfigUtil,innerclass,1,1,0,1,2,2,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,12,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-adminservice\src\main\java\com\ctrip\framework\apollo\adminservice\ServletInitializer.java,com.ctrip.framework.apollo.adminservice.ServletInitializer,class,3,3,0,3,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-adminservice\src\test\java\com\ctrip\framework\apollo\LocalAdminServiceApplication.java,com.ctrip.framework.apollo.LocalAdminServiceApplication,class,4,6,2,4,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\apolloconfigapollo\apollo-portal\src\test\java\com\ctrip\framework\apollo\portal\controller\CommitControllerTest.java,com.ctrip.framework.apollo.portal.controller.CommitControllerTest,class,2,2,0,2,3,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,14,0,0,0,0,1,0,0,0,42,1,0
